ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
500,ACCIÓ EVANGELÍSTICA MENSAJE DE VIDA,Sociosolidàries,suport social,C. Guifré,D-05,B-04,08912,2003,93723****,,,41.44******,2.24******
320,ADARBYC Associación de Alcohólicos Rehabilitados de Badalona y Comarca,Sociosolidàries,suport social,C. Arnús,D-01,B-01,08911,2013,93389****,adarbyc.badalo**@*********,www.adarbyc.org,41.45******,2.25******
180,AGRUPACION DE CANARICULTORES DE BADALONA,,,C. Guifré,D-05,B-04,08912,2013,93460****,,,41.44******,2.24******
70,APA CP MERCE RODOREDA,Educació,ampas,Av. Catalunya,D-02,B-20,08917,2013,93383****,ampamercerodore**@*********,www.blogampamercerodoreda.com,41.47******,2.28******
490,APA ESCOLA MAREGASSA,,,C. Sant Lluc,D-05,B-04,08918,2012,93398****,emaregas**@*********** / ampamaregas**@***********,,41.44******,2.24******
800,ASOCIACIÓN CENTRO CULTURAL GITANO DE SANT ROQUE (TIO MANUEL),Culturals,altres entitats culturals,C. Covadonga,D-06,B-31,08918,2014,68790****,,,,
860,ASOCIACIÓN E-SUBMARINISMO,Esportives,activitats marítimes,Maeques de Montroig,D-06,B-32,08918,2017,61985****,in**@*****************,wwww.e-submarinismo.es,,
650,ASOCIACIÓN FAMILIAS SIN FRONTERAS POR LA INFANCIA,Sociosolidàries,infància,C. República Portuguesa,D-05,B-06,08912,2009,60991****,famili**@*****************,www.porlainfancia.com,41.45******,2.24******
410,ASOCIACION FONDO DE CONOCIMIENTOS Y EXPERIENCIA (CONEX),Sociosolidàries,altres entitats sociosolidàries,C. Pau Piferrer,D-04,B-22,08914,2001,93460****,,,41.45******,2.22******
60,ASOCIACION GITANA DE BADALONA,Culturals,activitats diverses,C. Covadonga,D-06,B-31,08913,2012,93397****,,,41.43******,2.22******
940,ASOCIACIÓN LIANTES METALEROS,Culturals,altres entitats culturals,Av. Mónaco,D-02,B-25,08917,2022,65697****,liantesmetaler**@*********,https://liantesmetaleros.wixsite.com/liantes,,
710,ASOCIACIÓN PEÑA SEVILLISTA DEPORTIVA Y CULTURAL BADALONA,Esportives,altres activitats esportives,Rambla França,D-02,B-26,08917,2013,62584****,,,,
680,ASSOCIACIÓ CULTURAL SAHA (ALBA),Sociosolidàries,dones,Av. Marquès de Montroig,D-06,B-31,08918,1987,62776****,sahab**@**********,www.sahaalba.blogspot.com,41.43******,2.23******
370,ASSOCIACIÓ DE CASALS I GRUPS DE JOVES DE CATALUNYA,Lleure,altres entitats de lleure,C. Germà Bernabé,D-01,B-01,08911,2012,93601****,casaldejov**@****************,www.casaldejoves.org,41.45******,2.25******
430,ASSOCIACIÓ DE COMERCIANTS I VEÏNS DEL PASSEIG DE LA SALUT,Econòmiques,botiguers/res,Passeig de la Salut,D-04,B-22,08914,2002,,,,41.44******,2.23******
740,ASSOCIACIÓ DE LA GUITARRA DE BADALONA,,,C. Sant Bru,,B-13,08911,2017,93384****,guitar**@***********,,,
540,ASSOCIACIÓ DE LA PARÀLISI CEREBRAL-ASPACE-,Sociosolidàries,suport social,C. Marquès de Montroig,D-05,B-04,08912,2012,93460****,b**@*************,www.aspacecat.org,41.44******,2.23******
620,ASSOCIACIÓ DE MÚSICS PROFESSIONALS DE BADALONA,,,C. Magatzem,D-01,B-01,08911,1987,,musi**@******************,www.musicobadalona.org,41.45******,2.25******
670,ASSOCIACIÓ DE PARES D'ALUMNES DE L'IES ENRIC BORRÀS,Educació,ampas,Ptge. Dels Encants,D-04,B-22,08914,2012,,ampaenricborr**@*********,,41.44******,2.23******
810,ASSOCIACIÓ DE SERVEI SOCIAL YO DECIDO (ASSYD),Sociosolidàries,suport social,Rbla. Sant Joan,D-02,B-20,08917,2013,66996****,mcarmenresina**@*********,,,
830,ASSOCIACIÓ DE VEÏNS GUIFRÉ-PRIMAVERA,Sociosolidàries,veïnal,C. Guifré,D-06,B-33,08918,2016,65406****,gestor**@*****************,,,
630,ASSOCIACIÓ DE VEÏNS PEP VENTURA ILLA FRADERA,Sociosolidàries,veïnal,C. Ausias March,D-05,B-06,08912,2012,69260****,avvpepventuraillafrade**@***********,,41.45******,2.24******
720,ASSOCIACIÓ EDULIS PER A LA DIVULGACIÓ I L'ESTUDI DE LA CIÈNCIA I EL MEDI AMBIENT,Educació,altres entitats d'educació,C. Cardenal Vidal i Barraquer,D-04,B-22,08913,2012,63067****,edul**@**********,www.edulis.cat,,
730,ASSOCIACIÓ EL PEDRÍS,,,C. Conquista,D-01,B-05,08912,2012,93387****,elpedriscultural**@*********,www.elpedriscultural.blogspot.com,,
820,ASSOCIACIÓ ESPÈCIES DESPROTEGIDES,Sociosolidàries,protectora animals,Progrés,D-01,B-05,08912,2019,61938****,especiesdesprotegides.b**@*********,,,
350,ASSOCIACIÓ ESPORTIVA BADALONÈS,Esportives,bàsquet,Pl. del Gas,D-01,B-05,08912,2012,93460****,aebadalon**@***********,www.aebadalones.cat,41.44******,2.24******
930,ASSOCIACIÓ ESPORTIVA DEL VENT BADALONA,Esportives,activitats marítimes,C. Arnús,D-01,B-01,08911,2022,66954****,in**@*****************,www.escoladelvent.com,,
910,ASSOCIACIÓ MULASSERS DE BADALONA,,,C. Pompeu Fabra (Masia Canyadó),,B-12,08911,,64686****,mulassabadalo**@*********,,,
330,ASSOCIACIO PAU I SOLIDARITAT -CONC-,Sociosolidàries,internacional,C. Font i Escolà,D-05,B-06,08912,2013,93481****,pausolidarit**@********,www. pauisolidaritat.ccooo.cat,41.45******,2.24******
640,ASSOCIACIÓ PEL DESENVOLUPAMENT DE L'EDUCACIÓ VIÀRIA A CATALUNYA -ADEVIC-,Educació,socials,C. Tanger,D-03,B-26,08917,2020,63595****,in**@**********,,41.46******,2.24******
880,ASSOCIACIÓ PER A LA PREVENCIÓ I PROTECCIÓ DELS ANIMALS DEL BARCELONÈS NORD(APPAB,Sociosolidàries,protectora animals,Rubí,D-03,B-15,08915,2020,66697****,appabbadalo**@*********,,,
510,ASSOCIACIÓ PER LA PROMOCIÓ DEL TRANSPORT PÚBLIC,Sociosolidàries,medi ambient,C. Magatzem,D-01,B-01,08911,2003,93301****,lap**@*********,,41.45******,2.25******
200,ASSOCIACIO PRO-RADIO TALLER ONA BADAL,Culturals,comunicació,Pl. Trafalgar s/n (Centre Cívic Torre Mena),D-04,B-27,08913,1995,93399****,,,41.44******,2.22******
850,ASSOCIACIÓ SOS BADALONA,Sociosolidàries,protectora animals,C. Salou,D-05,B-27,08913,2017,69124****,asociacionsosb**@*********,www.sosbadalona.com,,
900,ASSOCIACIÓ TEATBAL CAFÈ SIMBÒLIC,,,C.Sant Joan de la Creu,,B-20,08917,2020,68660****,cafesimboli**@*********,hhtps://cafesimbolicoteatro.wordpress.com,,
700,ASSOCIACIONS DE VEÏNS INTEGRATS DE BADALONA (AVIBA),Sociosolidàries,veïnal,C. Covadonga,D-06,B-31,08918,2013,93398****,aviba.ciut**@*********,,,
190,AV. MONTIGALA,Sociosolidàries,veïnal,Travessera de Montigalà,D-02,B-26,08917,2013,65474****,contac**@*************** / avmontiga**@*********,www.avmontigala.org,41.45******,2.23******
30,AV. SANT JOAN LLEFIA ALT,Sociosolidàries,veïnal,Av. Amèrica,D-04,B-27,08913,2013,93164****,avv.sanjuandellefiaal**@*********,,41.44******,2.22******
760,AVV ASSOCIACIÓ OCELLAIRE I RECREATIVA DE JOVES EN BADALONA ,Lleure,altres entitats de lleure,Av. Marquès de Montroig,D-06,B-31,08912,2013,,,,,
