ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,ANY_CONSTITUCIO,WEB
263,AV. MONTIGALA 342-BATLLORIA,Sociosolidàries,veïnal,2013,
73,AV. RAVAL,Sociosolidàries,veïnal,2012,
43,AV. SANT JAUME,Sociosolidàries,veïnal,2013,
693,CASA AMERICA DE BADALONA,Sociosolidàries,suport social,2013,www.casaamericadebadalona.com
323,CASAL D'AVIS CANYADÓ,Sociosolidàries,gent gran,2013,
473,C.D. POMAR,Esportives,futbol,2012,www.cdpomar.com
193,CENTRE D'ESPLAI ASPIRANTAT SANT JOSEP,Lleure,esplais,2012,
23,CENTRE EXCURSIONISTA DE BADALONA,Lleure,excursionisme,2020,www.cebadalona.org
413,CENTRO CULTURAL CALO,Culturals,activitats diverses,2013,
3,CIRCOL CATOLIC,,,1988,
393,CLUB BILLAR ALBA DE BADALONA,Esportives,altres activitats esportives,2020,
133,CLUB DE PETANCA PAïSOS CATALANS,Esportives,petanca,2012,
553,CLUB MARISTES ADEMAR,Esportives,bàsquet,2020,
443,CLUB RÍTMICA BADALONA,,,2002,
613,CLUB RÍTMICA GIM VANES SPORT,Esportives,altres activitats esportives,2013,
783,CLUB WINDSURF BADALONA,Esportives,activitats marítimes,2014,
273,COMISION DE FIESTAS DEL BARRIO DE LA SALUD,Culturals,festes populars,2012,
753,COMUNICART (Associació per a la inclusió de les Persones amb autisme) ,Sociosolidàries,discapacitats/des,2012,www.autismocomunicart.org
333,COMUNIDAD MUSULMANA DE BADALONA,Sociosolidàries,suport social,2013,
433,ESCOLA TALLER RÀDIO BUFALÀ,,,2002,
213,ESPLAI SANT PAU,Lleure,esplais,1995,
793,FEDERACIÓ DONES BADALONA 2013,Sociosolidàries,dones,2014,
763,FONDO XI CRICKET CLUB,Esportives,altres activitats esportives,2013,
583,FUNDACIÓ ADRA,Sociosolidàries,suport social,1987,www.adra-es.org
853,FUNDACIÓ BADALONA CAPAÇ,Sociosolidàries,discapacitats/des,2017,www.bdncapac.cat
723,FUNDACIÓ DAINA PER LA DEFENSA DELS ANIMALS I LA NATURA,Sociosolidàries,protectora animals,2011,
913,FUNDACIÓ ESPORTIVA D'ARENYS DE MAR,,,2021,www.fedmar.com
933,FUNDACIÓ INSTITUT D'INVESTIGACIÓ EN CIÈNCIES DE LA SALUT GERMANS TRIAS I PUJOL,Sociosolidàries,altres entitats sociosolidàries,2022,www.germanstrias.org
653,FUNDACIÓ PRIVADA SIQUE,Sociosolidàries,discapacitats/des,2013,www.fundaciosique.org
593,LA TROBADA Associaci'o d'Usuaris de la Salut Mental,Sociosolidàries,suport social,2006,
543,OBSERVATORI DE LA VIOLÈNCIA DE GÈNERE I DE LA DISCRIMINACIÓ A BADALONA,Sociosolidàries,dones,2004,
903,OCULARIS ASSOCIACIÓ,,,2020,www.ocularis.ong
363,PENYA BARCELONISTA PEP VENTURA DE BADALONA,Esportives,altres activitats esportives,2020,
283,SETEM CATALUNYA (Servei Tercer Món),Sociosolidàries,internacional,1997,
293,SOCIETAT CORAL LA BADALONENSE,Culturals,musical,2013,
573,SOCIETATAT DE CAÇADORS OCELLAIRE POMAR,Esportives,altres activitats esportives,2010,
683,TEATRE DE PAS,Culturals,teatre,2010,
633,TENNIS CLUB BADALONA,Esportives,altres activitats esportives,2013,www.tennisclubbadalona.org
