ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
438,AGRUPACIÓN DE ROCIEROS ANDALUCES EN CATALUÑA,Culturals,tradicionals,C. Pau Piferrer,D-04,B-22,08914,2003,93460****,a-r-a-**@***********,,41.45******,2.22******
378,AMICS DE LA MÚSICA DE BADALONA,Culturals,musical,C. Canonge Baranera,D-01,B-01,08911,1987,93389****,amicsmusicabadalo**@***********,www.amicsmusicabdn.cat,41.45******,2.25******
348,AMICS DEL PESSEBRE DE BADALONA,Culturals,tradicionals,C. Arnus,D-01,B-01,08911,2020,62004****,amicspessebreb**@*********,,41.45******,2.25******
468,ARTESANS BADALONA,Culturals,altres entitats culturals,C. Mercè,D-01,B-01,08911,2002,63062****,,,41.45******,2.25******
808,ASOCIACION CENTRO CULTURAL AMIGOS DE LLEFIÀ,Culturals,activitats diverses,C. Sant Bartomeu,D-04,B-27,08913,2020,93383**** / 93397****,feluchi**@*********,,,
618,ASOCIACIÓN GITANA ROM I ROMI DE BADALONA,Sociosolidàries,suport social,C. Sant Joan Evangelista,D-06,B-33,08918,2012,93398**** / 67212****,a-gita**@********,,41.44******,2.23******
118,ASOCIACION JUBILADOS Y PENSIONISTAS DE BADALONA - CENTRE,Sociosolidàries,gent gran,C. Ignasi Iglesies,D-01,B-01,08912,2020,93389****,ASJPB-CENT**@**************,www.casalcentre.entitatsbadalona.cat,41.45******,2.24******
768,ASSEMBLEA NACIONAL CATALANA,Culturals,altres entitats culturals,Riera Matamoros,D-01,B-01,08911,2013,93384****,,,,
398,ASSOCIACIO AMICS LA SALUT,Sociosolidàries,altres entitats sociosolidàries,C. Arquitecte Fradera,D-04,B-22,08914,2013,93460****,amics_de_la_sal**@***********,www.amicsdelasalut.com,41.44******,2.23******
788,ASSOCIACIÓ ART EN ACCIÓ,Culturals,teatre,C. Perú,D-02,B-25,08917,2014,61628****,artenacc**@*********,www.artenaccio.com,,
738,ASSOCIACIÓ BADALONA RUNNING,Esportives,altres activitats esportives,C. Prim,,B-01,08911,2013,,cur**@*******************,www.badalonarunning.cat,,
828,ASSOCIACIÓ CANNÀBICA FUM BLANC,Culturals,altres entitats culturals,C. Guixeras,D-05,B-06,08912,2016,66500****,,,,
898,ASSOCIACIÓ CENTRE D'INNOVACIÓ SOCIAL I URBANA DE BADALONA,,,Jaume Ribó,,B-12,08911,2020,62781****,oriol**@***********,,,
748,ASSOCIACIÓ CULTURAL AUPAMUSIC,,,C. Alfons XII,,B-31,08912,2012,93186****,aupamus**@*********,,,
908,ASSOCIACIÓ CULTURAL VIBRA,,,C. Riera Matamoros,,B-01,08911,2020,66729****,asociacionculturalvib**@*********,,,
