ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
896,ADOPAC ( Asociación de Oportunidad para Animales Compañía,,,C.Nápols,,B-22,08914,2020,62559****,adopac20**@*********,,,
306,AFA  JUNGFRAU,Educació,ampas,C. Vila Vall-llebrera,D-01,B-01,08912,2017,93464****,a**@******************,www.afa.escolajungfrau.net,41.45******,2.24******
476,AGRUPACIÓ EXCURSIONISTA BUFALÀ,,,C. Campoamor,D-03,B-09,08917,2013,93399****,aebufa**@**********,http://aebufala.entitatsbadalona.net/,41.46******,2.24******
376,AMICS DEL MOVIMENT QUART MÓN CATALUNYA,Sociosolidàries,altres entitats sociosolidàries,C. Liszt,D-02,B-24,08917,2012,93308****,Minicr**@**********,,41.45******,2.22******
566,"AMICS X BÒSNIA, BADALONA 2004",Sociosolidàries,altres entitats sociosolidàries,Trv. Montigalà,D-03,B-26,08917,2013,93465**** / 66131****,,,41.45******,2.25******
596,AMPA CEIP PROGRÉS,Educació,ampas,C. Eduard Maristany,D-01,B-05,08912,2012,93399****,contac**@***************,www.ampaprogres.cat,41.44******,2.25******
16,APA COL·LEGI MARE DE DEU DE L'ESPERANÇA,,,C. Provença,,B-22,08914,2012,93387****,ampaesperan**@***********,,41.44******,2.23******
336,APA ESCOLA BETÚLIA,Educació,ampas, C. Conquesta,D-01,B-05,08912,2020,93399****,contac**@***************,www.ampabetulia.cat,41.44******,2.24******
766,ASOCIACIÓN CULTURAL MORENADA SIN FRONTERAS (ACMSF),Culturals,cultura estrangera,C. General Moragues,D-04,B-22,08914,2013,69848****,,,,
166,ASOCIACION DE MUJERES POR LA IGUALDAD,Sociosolidàries,dones,C. Sant  Bartomeu-Bellavista,D-04,B-27,08914,1993,93387****,,,41.44******,2.22******
936,ASOCIACIÓN LA LUCHA DE ABRIL,Sociosolidàries,suport social,C. Doctor Robert,D-02,B-09,08915,2022,62103****,in**@***************,www.luchadeabril.net,,
716,ASOCIACIÓN PENYA SEVILLISTA CULTURAL Y DEPORTIVA BADALONA,Culturals,activitats diverses,Rambla França ,D-02,B-26,08917,2020,62584****,jose_cortes_sevil**@***********,,,
