ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
914,ACTIVAMENT CATALUNYA ASSOCIACIÓ,,,C. Salou,,B-27,08913,2021,60068****,badalo**@**************,www.activament.org,,
454,APA CEIP ARTUR MARTORELL,Educació,ampas,C. Seu d'Urgell,D-01,B-13,08911,2020,93384**** / 93567****,am**@**********************,,41.45******,2.25******
234,APA COLEGIO NTRA. SRA. DE LA ASUNCION,Educació,ampas,Sant Joan Evangelista,D-05,B-32,08912,2013,93387****,ampassumpc**@***********,,41.44******,2.23******
184,APA COL·LEGI  LAIETÀNIA,Educació,ampas,C. Saragossa,D-01,B-05,08912,1994,93388****,a80012**@********,www.xtec.es/ce2776,41.45******,2.24******
364,APA COL.LEGI MARISTES CHAMPAGNAT DE BADALONA,Educació,ampas,C. Dos de Maig,D-01,B-01,08912,1999,93389****,ampamaristesbadalo**@*********,www.ampamaristesbadalona.ning.com,41.45******,2.24******
264,APA CP FOLCH I TORRES,Educació,ampas,C. Wagner,D-02,B-24,08917,2012,93397****,ampafol**@***********,,41.45******,2.22******
84,APA CP JOAN LLONGUERAS,Educació,ampas,C. Sant Fermí,D-02,B-21,08915,1990,93933****,,,41.45******,2.23******
54,APA CP MARGARIDA XIRGU,Educació,ampas,C. Torí,D-04,B-22,08914,2013,93383**** / 63765****,ampamxir**@*********,,41.44******,2.23******
104,APA CP SANT JORDI,Educació,ampas,Av. Sabadell,D-03,B-15,08915,2012,93395**** / 67690****,,,41.47******,2.25******
244,APA I.B. PAU CASALS,,,Av. Lloreda,D-02,B-23,08917,2011,93397****,ampa_institut_pau_casa**@***********,,41.45******,2.23******
394,"ASOCIACION CULTURAL EXTREMEÑA ""ZURBARAN""",Culturals,tradicionals,C. Víctor Balaguer,D-04,B-22,08914,2020,60783****,antonioyangeles**@***********,,41.44******,2.23******
734,ASOCIACIÓN DE COMERCIANTES Y VECINOS DE LA CALLE DEL MAR,,,C. Mar,,B-01,08911,2012,61742****,,,,
324,ASOCIACION DE JUBILADOS Y PENSIONISTAS CASAL BONAVISTA CANYET,Sociosolidàries,gent gran,C. Eliseu Meifrén,D-03,B-10,08916,2013,93465**** / 68597****,casalbonavista**@*********,,41.47******,2.24******
