ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
32,AV. SANT JOAN DE LLEFIÀ  GRAN SOL,Sociosolidàries,veïnal,C. Austràlia,D-04,B-27,08913,2013,93387****,llefiagrans**@*********,,41.44******,2.22******
642,BATENEU (Ateneu de Badalona),Culturals,activitats diverses,C. Anselm Clavé,D-01,B-02,08912,2013,60975****,batan**@*********,www.bateneu.wordpress.com,41.45******,2.24******
562,CASAL DE JOVES EL LOKAL,Lleure,altres entitats de lleure,Pl. del Músics,D-02,B-24,08917,2012,93460****,ellok**@***********,,41.45******,2.25******
62,CENTRO ANDALUZ CASA DE HUELVA EN BADALONA,Culturals,tradicionals,Camí Sant Jeroni de la Murtra,D-03,B-26,08917,2009,68975****,,,41.46******,2.23******
272,CENTRO ARAGONES DE BADALONA,,,C. Sant Felip i de Rosés,D-03,B-09,08915,2013,93460****,corr**@*********,www.cabdn.com,41.45******,2.25******
302,CLUB D'AGILITY I EDUCACIO CANINA BADALONA,Esportives,altres activitats esportives,C. Havana,D-04,B-22,08914,2012,93383****,,,41.45******,2.25******
692,CLUB DE FUTBOL SANT CRIST MOLDAVIA,Esportives,futbol,Trv. Montigalà,D-03,B-26,08917,1987,93330****,,,41.46******,2.23******
712,CLUB DE PATINATGE ARTÍSTIC BADALONA,Esportives,altres activitats esportives,C. Latrilla,D-05,B-06,08912,2017,67067****,clubpatinatgebadalo**@*********,,,
552,CLUB D'ESCACS BADALONA,Esportives,escacs,C. Olivera de Sistrells ,D-02,B-21,08917,2013,63975****,cebadalo**@***********,www.escacsbadalona.blogspot.com,41.45******,2.23******
462,CLUB ESCACS SANT JOSEP,Esportives,escacs,Pl. Rector Rifé,D-01,B-01,08912,2020,93389****,cescacssantjos**@********************,,41.45******,2.25******
412,CLUB KORFBAL BADALONA (La Rotllana),Esportives,altres activitats esportives,C. Don Pelayo,D-04,B-22,08914,2001,93397****,ajrotlla**@********,www.webpersonal.net/korfball,41.44******,2.23******
242,CLUB PETANCA CANYADO,Esportives,petanca,C. Eduard Marquina,D-01,B-12,08911,2012,93384**** / 64698****,,,41.46******,2.26******
542,COLLA GEGANTERA DE L'ESCOLA JUNGFRAU DE BADALONA,Culturals,tradicionals,C. Vila Vall-Llebrera,D-01,B-02,08912,2004,61971**** / 93464****,gegants.jungfr**@***********,www.escolajungfrau.net/gegants,41.45******,2.24******
402,CONFRARIA DE SANT ANASTASI,Culturals,tradicionals,C. Dalt,D-01,B-03,08911,2013,,santanastasibadalo**@*********,www.satanastasibadalona.com,41.45******,2.25******
452,COORDINADORA D'ASSOCIATS PER LA LLENGUA CATALANA,Culturals,altres entitats culturals,Riera Matamoros,D-01,B-01,08911,2020,93384****,c**@*******,,41.45******,2.25******
522,COORDINADORA D'ENTITATS BADALONINES DE CULTURA TRADICIONAL I POPULAR CATALANA,Culturals,tradicionals,C. Pompeu Fabra,D-01,B-12,08911,2003,93464****,coordinado**@*************,,41.46******,2.26******
122,CP BETULO,Esportives,petanca,C. Maria  Auxiliadora,D-01,B-05,08912,2013,93388****,,,41.44******,2.24******
502,F.C. LLOREDA,Esportives,futbol,Av. Lloreda,D-02,B-23,08917,2013,66733**** / 93387****,cfllore**@********* / futbolbase.cfllore**@*********,,41.45******,2.23******
772,FUNDACIÓ ASPANIN PATRIMONI,Sociosolidàries,discapacitats/des,C. Sant Miquel,D-01,B-01,08911,2013,93384****,aspan**@***********,www.aspanin.cat,,
942,FUNDACIÓ CHAMPAGNAT FUNDACIÓ PRIVADA,Educació,altres entitats d'educació,C. Dos de Maig,D-01,B-01,08912,2022,93490****,fch.comp**@************,,,
232,GRUP DE COMERCIANTS CANONGE BARANERA,Econòmiques,botiguers/res,C. Canonge Baranera,D-01,B-01,08911,2017,93464****,,,41.45******,2.25******
372,GRUP DE DONES VENUS,Sociosolidàries,dones,Av. Marquès de Montroig,D-05,B-32,08918,2020,93399**** / 62815****,grupdonesven**@********************,,41.44******,2.23******
192,"K-LIU BADALONA ""ASSOCIACIÓ INFANTIL I JUVENIL""",Lleure,esplais,Pg. Riu Noguera,D-02,B-20,08917,1994,93399****,,,41.45******,2.23******
312,MENJAR SOLIDARI,Sociosolidàries,suport social,C. Magatzem,D-01,B-01,08911,1998,93384**** / 61722****,menjarsolida**@*********,,41.45******,2.25******
492,"MIRA, MIRA, Club d'Amics dels Estels",Lleure,altres entitats de lleure,Riera Canyadó,D-01,B-13,08911,2003,93464**** / 93483****,cl**@*************,www.mira-mira.org,41.46******,2.25******
362,PENYA FONDISTES BADALONA,Esportives,altres activitats esportives,Ctra. Antiga de València,D-04,B-29,08914,2017,93399**** / 63908****,penyafondistesbadalo**@*********,www.penyafondistesbadalona.com,41.44******,2.22******
252,PROMUSIC AMICS DEL JAZZ DE BADALONA,Culturals,musical,C. Germà Bernabé,D-01,B-01,08911,1996,93384****,,,41.45******,2.25******
482,QUART MÓN PARES CARMELITES,,,C. Sant Miquel,D-01,B-01,08911,2013,93389****,vador.n**@*********,,41.45******,2.25******
732,SRI GURU RAVIDASS BHAWAN,,,Av. Caritg,,B-29,08914,2020,67292****,adm**@**********************,,,
172,UNIÓ  ESPORTIVA LLONGUERAS DE SANT CRIST,Esportives,futbol,Travessera de Montigalà,D-03,B-26,08917,1993,93465****,uellonguer**@***********,,41.46******,2.23******
