ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
385,ALCER (Associació per a la lluita contra les malalties del ronyó),,,Av. Marqués de Montorig,D-06,B-31,08913,2020,93397****,,,41.43******,2.23******
145,AMNISTIA INTERNACIONAL -Secció Espanyola -,Sociosolidàries,internacional,C. Francesc Macià,D-05,B-06,08911,2013,93460****,badalo**@*********************,www.amnistiainternacional.org,41.45******,2.25******
255,APA COL·LEGI JOAN MIRO,Educació,ampas,C. Figueres s/n,D-02,B-21,08917,2013,93387****,,,41.45******,2.23******
615,"ASOCIACIÓN CULTURAL CRISTIANA DE CATALUNYA ""AGAPE""",,,C. Sant Joan Evangelista,D-06,B-31,08918,2020,68511****,justo_**@***********,,41.44******,2.23******
205,ASOCIACION DE RADIO TORRE MENA,Culturals,comunicació,Plaça Trafalgar,D-04,B-27,08913,1995,93399****,,,41.44******,2.22******
725,ASOCIACIÓN ECUATORIANA DE ECUAVOLEY EN CATALUNYA,Esportives,altres activitats esportives,C. Mozart,D-04,B-22,08917,2013,93188****,asociacionecuavoley-c**@***********,www.ecuavoley-cat.com,,
785,ASOCIACIÓN INTERNACIONAL DE WUTAOCHI & ARTES MARCIALES,Esportives,altres activitats esportives,Av. Amèrica,D-04,B-27,08913,2013,93460**** / 61915****,ninmo**@*************,,,
815,ASSOCIACIÓ CASA DE ASTURIAS CAT-ASTUR BADALONA,Culturals,tradicionals,C. Indústria,D-01,B-05,08912,2015,66003****,cat-ast**@***********,,,
285,ASSOCIACIO CATALANA DE BRIGADISTES A NICARAGUA,Sociosolidàries,internacional,C. Francesc Macià,D-05,B-06,08912,1997,93460****,acb2nicarag**@********,www.acbn.entitatsbadalona.net,41.45******,2.24******
605,ASSOCIACIÓ CIENTÍFICA AIGUAZÚ,Sociosolidàries,suport social,C. Garcilaso,D-03,B-09,08915,2013,93383**** / 62977****,,,41.46******,2.24******
775,"ASSOCIACIÓ CULTURAL ANDALUZA ""EL TACON DEL DUENDE""",Culturals,tradicionals,C. Figueres,D-02,B-23,08917,2013,68522****,eltocondelduende**@***********,,,
925,ASSOCIACIÓ CULTURAL L'INDEPENDENT DE BADALONA,Culturals,comunicació,Av. Marquès de Sant Mori,D-04,B-29,08913,2020,63875****,administrac**@***********************,www.independentbadalona.cat,,
705,ASSOCIACIÓ D'AMISTAT ENTRE AMAZICS I CATALANS,Sociosolidàries,altres entitats sociosolidàries,Av. Àfrica,D-04,B-22,08913,2013,69750****,amazicsicatala**@***********,www.amazicsicatalans.es,,
675,ASSOCIACIÓ DE COMERCIANTS SANT MORI DE LLEFIÀ,Econòmiques,botiguers/res,Av. Marquès Sant Mori,D-04,B-29,08913,2009,93387****,tonac**@***********,,41.44******,2.22******
765,ASSOCIACIÓ DE DANSA I ARTS ESCÈNIQUES LA MAREA,Culturals,dansa,C. Carme,D-01,B-01,08911,2020,93187****,in**@***********,www. lamarea.org,,
295,ASSOCIACIO DE FAMILIARS DE  MALALTS  MENTALS DEL BARCELONES NORD,Sociosolidàries,suport social,Av. Dr.Bassols,D-04,B-27,08914,1997,93383****,afembn**@*********** / ass**@*************,www.afammeban.org,41.44******,2.22******
315,ASSOCIACIO DE GENT GRAN DEL POMAR,Sociosolidàries,gent gran,Av. Terrassa,D-03,B-15,08915,2020,93395****,cgg.pom**@**********,,41.47******,2.25******
225,ASSOCIACIO DE PUNTAIRES MONTSERRAT NIUBO DE BADALONA,Culturals,tradicionals,C. Germà Bernabé,D-01,B-03,08911,2013,93384****,puntairesbadalo**@***********,,41.45******,2.25******
895,ASSOCIACIÓ DONA I CULTURA BADALONA,,,C. Salvador Seguí,,B-22,08914,2019,71770****,dona.badalo**@*********,,,
655,ASSOCIACIÓ ESPORTIVA IRIS-SOL-CASAGEMAS,Esportives,bàsquet,Riera Canyado,D-01,B-13,08911,2013,93464****,,www.futsaliris.org,41.46******,2.25******
465,ASSOCIACIÓ FUTBOL AMERICÀ BADALONA DRAGS,,,C. Independència,D-03,B-09,08915,2013,93383****,affi**@***************** / dragspre**@********,www.badalonadrags.com,41.46******,2.24******
185,ASSOCIACIO JUVENIL MA OBERTA-COR OBERT,Lleure,altres entitats de lleure,C. Dos de Maig,D-01,B-01,08912,2013,93389****,ajmacorbadalo**@*********,www.ajmacor.org/badalona,41.45******,2.24******
865,ASSOCIACIÓ JUVENIL SHOHOKU,Lleure,altres entitats de lleure,C. San Jeroni de la Murtra,D-03,B-08,08991,2020,93395****,juan.martinez31**@*********,,,
525,ASSOCIACIÓ LLIURE D'ALUMNES DE L'IES EUGENI D'ORS,Educació,ampas,Av. Maresme,D-06,B-31,08918,2003,93387****,lahua**@**********,,41.44******,2.22******
935,ASSOCIACIÓ OH HAPPY SINGERS COR,Culturals,musical, C. Sant Bru,D-01,B-01,08911,2022,66506****,magdalenagil**@*********,,,
885,ASSOCIACIÓ VOLUNTARIS PROTECCIÓ CIVIL BADALONA,Sociosolidàries,altres entitats sociosolidàries,Av. Turó d¿En Caritg,D-02,B-21,08912,2019,93483****,avpcivil.badalo**@*********,,,
625,ASSOCIACIÓN DE PADRES DE ALUMNOS DEL COLEGIO ESPECIAL LLEVANT,Educació,ampas,Av. Martí Pujol,D-01,B-01,08911,2013,93389****,ampa.lleva**@***********,,41.45******,2.25******
855,ASSOCIACION OSSAIN,Lleure,altres entitats de lleure,Passatge del Mar d'Alborà,,B-34,08918,2017,,asociacionossa**@*********,,,
545,ASSOCIACIONS FEDERADES DE FAMÍLIES D'ALUMNES DE CATALUNYA (AFFAC),Educació,ampas,Av. Congrés Eucarístic,D-05,B-32,08918,2020,93435****,fap**@*********,www.fapac.net,41.44******,2.23******
805,ASSOIAIÓ ONA MAR LLEFIÀ,Culturals,comunicació,Rda. Sant Antoni de Llefià,D-04,B-27,08913,2014,93460****,asoiacion.onam**@*********,www. onamar.net,,
275,AV. DE CAN MERCADER,Sociosolidàries,veïnal,C. Sant Brú,D-01,B-13,08911,2013,93389****,avcanmercad**@***********,,41.45******,2.25******
745,AV. SANT JOAN DE LLEFIÀ DE BADALONA,,,C. Miquel del Prat,,B-22,08914,2013,93162**** / 67616****,sitobdn**@*********,,,
495,"BADABICIS, ASSOCIACIÓ D'USUARIS DE LA BICICLETA DE BADALONA",Sociosolidàries,medi ambient,C. Magatzem,D-01,B-01,08911,2003,93389****,,,41.45******,2.25******
485,CASAL ANTONI SALA I FONT,Culturals,activitats diverses,Riera Matamoros,D-01,B-01,08911,2003,,,,41.45******,2.25******
375,CENTRO CULTURAL GRUPO MAGREBÍ ANAHDA,Culturals,cultura estrangera,C. Mózart,D-08,B-24,08917,2013,63636****,banemaca**@***********,,41.45******,2.22******
235,"CLUB DE FANS DE ELVIS, de Badalona",,,Av. Marquès de Montroig,D-05,B-04,08910,1996,93464****,,,41.44******,2.23******
415,CLUB DE FUTBOL SALA JOLIS 2000,Esportives,futbol,C. Maragall,D-01,B-01,08915,2001,93397****,jolis20**@**********,,41.45******,2.24******
565,CLUB DE REM BADALONA,Esportives,altres activitats esportives,Riera Matamoros,D-01,B-03,08911,2013,93460**** / 93464****,rembadalo**@********* / rembadalo**@***********,www.rembadalona.cat,41.45******,2.25******
755,CLUB ESPORTIU MARMUN ESPORT,Esportives,altres activitats esportives,C. Dalt,D-01,B-03,08911,2012,93384****,marmunspo**@*********,,,
575,CLUB FUTBOL SALA BAKANOS,Esportives,futbol,Av. Doctor Bassols,D-04,B-27,08914,2005,93399****,javier5palomar**@***********,,41.44******,2.22******
505,CLUB PATI BADALONA,Esportives,altres activitats esportives,C. Llefià,D-05,B-06,08912,2003,93399****,,,41.44******,2.23******
115,CLUB PETANCA SAN JUAN DE LLEFIA ALTO,Esportives,petanca,Av. Amèrica,D-04,B-27,08914,2019,93408****,avvdaltlavi**@**********,www.daltlavila.org,41.44******,2.22******
735,CLUB RÍTMICA MONTIGALÀ BADALONA,,,C. Molí de la Torre,,B-09,08915,2012,93465**** / 66677****,ritmicamontiga**@*********,,,
915,CLUB VOLEI BADALONA,,,Av. Bufalà,,B-09,08915,2021,67366****,clubvoleibadalo**@*********,www.cvbadalona.com,,
945,CONVENTO DE LA MARE DE DEU DEL CARME,Sociosolidàries,altres entitats sociosolidàries,C. Sant Miquel,D-01,B-01,08911,2023,65751****,cfa2000b**@*********,,,
245,COORDINADORA BADALONA SOLIDARIA,Sociosolidàries,altres entitats sociosolidàries,C. Francesc Macià,D-05,B-06,08912,1987,93460****,,,41.45******,2.24******
405,EDICIONS FET A MA,Culturals,comunicació,C. Caritat,D-01,B-01,08911,2001,93389****,pepmita.x**@***********,,41.45******,2.25******
55,ENTORN INICIATIVES DE LLEURE,Lleure,altres entitats de lleure,C. Mar,D-01,B-01,08911,1988,93384****,,,41.45******,2.25******
835,FEDERACIÓ COMISSIÓ SUPERIOR DE LA CULTURA I DELS MUSULMANS CATALANS (FCSCIM.CAT),Sociosolidàries,altres entitats sociosolidàries,C. Liszt,D-02,B-24,08917,2020,67922****,latibo**@********,,,
645,FEDERACIÓ D'ASSOCIACIONS DE MARES I PARES D'ALUMNES DE CENTRES PÚBLICS DE BADALO,Educació,ampas,Av. Congrés Eucarístic,D-05,B-32,08918,2008,60009****,fampasbadalo**@*********,,41.46******,2.24******
365,"FUNDACIÓ ""ACOLLIDA I ESPERANÇA""",,,C. Muntaner,D-03,B-09,08917,2013,93465****,fundac**@************,www.acollida.org,41.46******,2.24******
905,"FUNDACIÓ PRESÈNCIA, ACCÉS I MOBILITAT",,,C. Eduard Maristany,,B-05,08912,2020,68083****,pam.badalo**@*********,,,
445,FUNDACION FAMILIAS UNIDAS,Sociosolidàries,internacional,C. Francesc Macià,D-05,B-06,08912,2020,93460****,familiasunid**@******************,www.familiasunidas.org,41.45******,2.24******
635,GESTA,Sociosolidàries,internacional,C. Alfons XII,D-01,B-05,08912,2012,62609****,gestab**@***********,www.gesta-africa.org,41.44******,2.24******
45,GRUPO AMIGOS DEL MINUSVALIDO -GAM-,Sociosolidàries,discapacitats/des,Av. Marquès de Montroig,D-06,B-31,08918,2010,93383**** / 64902****,gam**@***********,,41.44******,2.23******
215,LLAR DEL SORD DE BADALONA,Sociosolidàries,discapacitats/des,C. General Weyler,D-01,B-05,08912,1987,93383****,llarsordb**@*******,,41.44******,2.24******
825,MARLEY'S DREAM ASSOCIACIÓ CANNÀBICA,Culturals,altres entitats culturals,C. Manresà,D-01,B-11,08911,2016,60416****,,,,
15,ORFEO BADALONI,,,C. Marina,,B-01,08911,2012,93384****,orfeobadalo**@********,,41.45******,2.25******
715,"SOLIDARIDAD, EDUCACIÓN Y DESARROLLO (SED)",Sociosolidàries,internacional,C. Dos de Maig,D-01,B-01,08912,2011,93490**** / 93389****,sedcatalunyasec**@************,www.maristes.org/sed,,
515,SPORT CICLISTA BETULO,Esportives,ciclisme,C. Jovellar,D-01,B-01,08911,2013,60074****,scbetu**@*********** / scbetu**@*********,www.sportciclistabetulo.es,41.45******,2.25******
455,UNIÓ GIMNÀSTICA I ESPORTIVA DE BADALONA,Esportives,atletisme,C. Enric Borràs,D-01,B-01,08912,2020,93389****,secretariaugebadalo**@*********,ugab.iespana.es,41.45******,2.25******
665,VEU ANIMAL,,,C. Juan Valera,D-01,B-01,08914,2013,93384**** / 60794****,veuanim**@*************,www.veuanimal.org,41.45******,2.25******
